SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
41998,1610612759,SAS,San Antonio Spurs,0049800022,1999-05-13,SAS @ MIN,W,234,85,36,76,0.474,3,9,0.333,10,13,0.769,13,34,47,27,10,8,17,17,14.0
41998,1610612755,PHI,Philadelphia 76ers,0049800021,1999-05-13,PHI vs. ORL,W,235,97,40,89,0.449,3,8,0.375,14,23,0.609,17,28,45,23,20,9,11,24,12.0
41998,1610612747,LAL,Los Angeles Lakers,0049800024,1999-05-13,LAL @ HOU,L,236,88,31,82,0.378,4,22,0.182,22,33,0.667,14,28,42,17,3,9,14,25,-14.0
41998,1610612754,IND,Indiana Pacers,0049800023,1999-05-13,IND @ MIL,W,235,99,33,83,0.398,13,33,0.394,20,23,0.87,13,28,41,26,8,4,11,29,8.0
41998,1610612752,NYK,New York Knicks,0049800018,1999-05-12,NYK vs. MIA,W,234,97,34,73,0.466,4,14,0.286,25,30,0.833,15,28,43,14,7,4,10,26,24.0
41998,1610612758,SAC,Sacramento Kings,0049800020,1999-05-12,SAC vs. UTA,W,261,84,32,83,0.386,6,25,0.24,14,20,0.7,16,37,53,22,12,4,20,26,3.0
41998,1610612737,ATL,Atlanta Hawks,0049800017,1999-05-12,ATL @ DET,L,235,63,24,64,0.375,5,17,0.294,10,17,0.588,8,21,29,15,4,7,14,22,-16.0
41998,1610612765,DET,Detroit Pistons,0049800017,1999-05-12,DET vs. ATL,W,235,79,31,76,0.408,4,11,0.364,13,17,0.765,18,23,41,13,5,1,10,25,16.0
41998,1610612757,POR,Portland Trail Blazers,0049800019,1999-05-12,POR @ PHX,W,236,103,33,62,0.532,3,9,0.333,34,44,0.773,8,28,36,20,10,7,21,24,10.0
41998,1610612748,MIA,Miami Heat,0049800018,1999-05-12,MIA @ NYK,L,233,73,24,70,0.343,4,23,0.174,21,27,0.778,11,24,35,11,5,2,16,28,-24.0
41998,1610612762,UTA,Utah Jazz,0049800020,1999-05-12,UTA @ SAC,L,258,81,28,74,0.378,3,9,0.333,22,31,0.71,9,29,38,19,10,4,18,22,-3.0
41998,1610612756,PHX,Phoenix Suns,0049800019,1999-05-12,PHX vs. POR,L,235,93,36,81,0.444,7,17,0.412,14,21,0.667,10,19,29,24,11,5,15,31,-10.0
41998,1610612747,LAL,Los Angeles Lakers,0049800016,1999-05-11,LAL vs. HOU,W,233,110,45,83,0.542,10,18,0.556,10,17,0.588,8,35,43,24,5,10,13,22,12.0
41998,1610612745,HOU,Houston Rockets,0049800016,1999-05-11,HOU @ LAL,L,236,98,31,78,0.397,11,26,0.423,25,32,0.781,12,32,44,18,9,4,14,25,-12.0
41998,1610612754,IND,Indiana Pacers,0049800015,1999-05-11,IND vs. MIL,W,258,108,33,77,0.429,11,32,0.344,31,40,0.775,11,29,40,22,15,6,21,29,1.0
41998,1610612759,SAS,San Antonio Spurs,0049800014,1999-05-11,SAS vs. MIN,L,234,71,25,63,0.397,0,8,0.0,21,32,0.656,11,29,40,11,9,4,15,14,-9.0
